att_id,emp_id,att_date,status
1,1,2024-01-01,Present
2,1,2024-01-02,Present
3,1,2024-01-03,Present
4,1,2024-01-04,Leave
5,1,2024-01-05,Present
6,1,2024-01-06,Holiday
7,1,2024-01-07,Holiday
8,1,2024-01-08,Holiday
9,1,2024-01-09,Present
10,1,2024-01-10,Present
11,1,2024-01-11,Present
12,1,2024-01-12,Leave
13,1,2024-01-13,Holiday
14,1,2024-01-14,Holiday
15,1,2024-01-15,Absent
16,1,2024-01-16,Present
17,1,2024-01-17,Present
18,1,2024-01-18,Present
19,1,2024-01-19,Absent
20,1,2024-01-20,Holiday
21,1,2024-01-21,Holiday
22,1,2024-01-22,Present
23,1,2024-01-23,Present
24,1,2024-01-24,Leave
25,1,2024-01-25,Present
26,1,2024-01-26,Absent
27,1,2024-01-27,Holiday
28,1,2024-01-28,Holiday
29,1,2024-01-29,Absent
30,1,2024-01-30,Present
31,1,2024-01-31,Present
32,1,2024-02-01,Holiday
33,1,2024-02-02,Present
34,1,2024-02-03,Holiday
35,1,2024-02-04,Holiday
36,1,2024-02-05,Leave
37,1,2024-02-06,Present
38,1,2024-02-07,Present
39,1,2024-02-08,Absent
40,1,2024-02-09,Present
41,1,2024-02-10,Holiday
42,1,2024-02-11,Holiday
43,1,2024-02-12,Present
44,1,2024-02-13,Present
45,1,2024-02-14,Present
46,1,2024-02-15,Present
47,1,2024-02-16,Present
48,1,2024-02-17,Holiday
49,1,2024-02-18,Holiday
50,1,2024-02-19,Present
51,1,2024-02-20,Present
52,1,2024-02-21,Leave
53,1,2024-02-22,Present
54,1,2024-02-23,Holiday
55,1,2024-02-24,Holiday
56,1,2024-02-25,Holiday
57,1,2024-02-26,Absent
58,1,2024-02-27,Present
59,1,2024-02-28,Absent
60,1,2024-03-01,Absent
61,1,2024-03-02,Holiday
62,1,2024-03-03,Holiday
63,1,2024-03-04,Present
64,1,2024-03-05,Present
65,1,2024-03-06,Present
66,1,2024-03-07,Present
67,1,2024-03-08,Present
68,1,2024-03-09,Holiday
69,1,2024-03-10,Holiday
70,1,2024-03-11,Present
71,1,2024-03-12,Holiday
72,1,2024-03-13,Leave
73,1,2024-03-14,Present
74,1,2024-03-15,Present
75,1,2024-03-16,Holiday
76,1,2024-03-17,Holiday
77,1,2024-03-18,Absent
78,1,2024-03-19,Present
79,1,2024-03-20,Present
80,1,2024-03-21,Present
81,1,2024-03-22,Absent
82,1,2024-03-23,Holiday
83,1,2024-03-24,Holiday
84,1,2024-03-25,Leave
85,1,2024-03-26,Present
86,1,2024-03-27,Present
87,1,2024-03-28,Present
88,1,2024-03-29,Absent
89,1,2024-03-30,Holiday
90,1,2024-03-31,Holiday
91,2,2024-01-01,Absent
92,2,2024-01-02,Present
93,2,2024-01-03,Present
94,2,2024-01-04,Holiday
95,2,2024-01-05,Present
96,2,2024-01-06,Holiday
97,2,2024-01-07,Holiday
98,2,2024-01-08,Present
99,2,2024-01-09,Present
100,2,2024-01-10,Present
101,2,2024-01-11,Present
102,2,2024-01-12,Leave
103,2,2024-01-13,Holiday
104,2,2024-01-14,Holiday
105,2,2024-01-15,Present
106,2,2024-01-16,Leave
107,2,2024-01-17,Leave
108,2,2024-01-18,Holiday
109,2,2024-01-19,Present
110,2,2024-01-20,Holiday
111,2,2024-01-21,Holiday
112,2,2024-01-22,Present
113,2,2024-01-23,Present
114,2,2024-01-24,Present
115,2,2024-01-25,Absent
116,2,2024-01-26,Present
117,2,2024-01-27,Holiday
118,2,2024-01-28,Holiday
119,2,2024-01-29,Present
120,2,2024-01-30,Leave
121,2,2024-01-31,Present
122,2,2024-02-01,Holiday
123,2,2024-02-02,Present
124,2,2024-02-03,Holiday
125,2,2024-02-04,Holiday
126,2,2024-02-05,Present
127,2,2024-02-06,Present
128,2,2024-02-07,Present
129,2,2024-02-08,Present
130,2,2024-02-09,Present
131,2,2024-02-10,Holiday
132,2,2024-02-11,Holiday
133,2,2024-02-12,Present
134,2,2024-02-13,Absent
135,2,2024-02-14,Present
136,2,2024-02-15,Present
137,2,2024-02-16,Absent
138,2,2024-02-17,Holiday
139,2,2024-02-18,Holiday
140,2,2024-02-19,Holiday
