review_id,emp_id,review_year,rating,manager_comment
1,1,2022,4,Consistently delivers high-quality work
2,1,2023,1,"Meets expectations, room to grow"
3,2,2022,4,Great initiative and problem-solving skills
4,2,2023,5,Great initiative and problem-solving skills
5,3,2022,5,"Below expectations, requires coaching"
6,3,2023,2,"Meets expectations, room to grow"
7,4,2022,3,Struggles with deadlines occasionally
8,4,2023,3,Struggles with deadlines occasionally
9,5,2022,3,"Meets expectations, room to grow"
10,5,2023,4,"Below expectations, requires coaching"
11,6,2022,1,Outstanding performance this year
12,6,2023,3,Struggles with deadlines occasionally
13,7,2022,2,Great initiative and problem-solving skills
14,7,2023,3,Struggles with deadlines occasionally
15,8,2022,5,"Meets expectations, room to grow"
16,8,2023,2,"Meets expectations, room to grow"
17,9,2022,2,Highly motivated and reliable
18,9,2023,5,Excellent team player and communicator
19,10,2022,2,"Meets expectations, room to grow"
20,10,2023,5,Struggles with deadlines occasionally
21,11,2022,5,"Good technical skills, improve soft skills"
22,11,2023,2,Struggles with deadlines occasionally
23,12,2022,5,"Good technical skills, improve soft skills"
24,12,2023,5,Consistently delivers high-quality work
25,13,2022,4,Excellent team player and communicator
26,13,2023,4,Consistently delivers high-quality work
27,14,2022,2,"Below expectations, requires coaching"
28,14,2023,4,"Below expectations, requires coaching"
29,15,2022,2,Highly motivated and reliable
30,15,2023,4,"Meets expectations, room to grow"
31,16,2022,3,Struggles with deadlines occasionally
32,16,2023,1,Needs improvement in time management
33,17,2022,5,"Below expectations, requires coaching"
34,17,2023,3,Excellent team player and communicator
35,18,2022,4,Excellent team player and communicator
36,18,2023,4,Needs improvement in time management
37,19,2022,5,"Below expectations, requires coaching"
38,19,2023,3,"Below expectations, requires coaching"
39,20,2022,5,Highly motivated and reliable
40,20,2023,3,Highly motivated and reliable
41,21,2022,1,Excellent team player and communicator
42,21,2023,4,Great initiative and problem-solving skills
43,22,2022,5,Excellent team player and communicator
44,22,2023,3,Struggles with deadlines occasionally
45,23,2022,5,"Below expectations, requires coaching"
46,23,2023,4,"Below expectations, requires coaching"
47,24,2022,4,Great initiative and problem-solving skills
48,24,2023,3,Excellent team player and communicator
49,25,2022,5,"Below expectations, requires coaching"
50,25,2023,3,Highly motivated and reliable
51,26,2022,3,"Meets expectations, room to grow"
52,26,2023,4,"Good technical skills, improve soft skills"
53,27,2022,4,Excellent team player and communicator
54,27,2023,4,Outstanding performance this year
55,28,2022,4,"Good technical skills, improve soft skills"
56,28,2023,4,"Below expectations, requires coaching"
57,29,2022,4,Consistently delivers high-quality work
58,29,2023,2,Great initiative and problem-solving skills
59,30,2022,4,Highly motivated and reliable
60,30,2023,3,Consistently delivers high-quality work
61,31,2022,2,Great initiative and problem-solving skills
62,31,2023,4,Excellent team player and communicator
63,32,2022,1,Struggles with deadlines occasionally
64,32,2023,5,"Good technical skills, improve soft skills"
65,33,2022,4,"Good technical skills, improve soft skills"
66,33,2023,4,Needs improvement in time management
67,34,2022,4,Struggles with deadlines occasionally
68,34,2023,5,"Below expectations, requires coaching"
69,35,2022,3,Excellent team player and communicator
70,35,2023,3,Needs improvement in time management
71,36,2022,4,Needs improvement in time management
72,36,2023,4,Consistently delivers high-quality work
73,37,2022,4,Outstanding performance this year
74,37,2023,2,Highly motivated and reliable
75,38,2022,1,"Meets expectations, room to grow"
76,38,2023,2,Great initiative and problem-solving skills
77,39,2022,5,Excellent team player and communicator
78,39,2023,3,Struggles with deadlines occasionally
79,40,2022,3,Needs improvement in time management
80,40,2023,4,Consistently delivers high-quality work
81,41,2022,3,Great initiative and problem-solving skills
82,41,2023,3,"Good technical skills, improve soft skills"
83,42,2022,5,"Below expectations, requires coaching"
84,42,2023,1,Outstanding performance this year
85,43,2022,5,Outstanding performance this year
86,43,2023,4,Outstanding performance this year
87,44,2022,4,Great initiative and problem-solving skills
88,44,2023,2,Excellent team player and communicator
89,45,2022,4,Great initiative and problem-solving skills
90,45,2023,5,Outstanding performance this year
91,46,2022,3,Needs improvement in time management
92,46,2023,3,"Below expectations, requires coaching"
93,47,2022,1,Needs improvement in time management
94,47,2023,4,Struggles with deadlines occasionally
95,48,2022,4,Excellent team player and communicator
96,48,2023,5,Excellent team player and communicator
97,49,2022,3,"Meets expectations, room to grow"
98,49,2023,5,Highly motivated and reliable
99,50,2022,4,Consistently delivers high-quality work
100,50,2023,4,Needs improvement in time management
101,51,2022,4,"Good technical skills, improve soft skills"
102,51,2023,4,"Below expectations, requires coaching"
103,52,2022,3,"Meets expectations, room to grow"
104,52,2023,2,Outstanding performance this year
105,53,2022,4,Great initiative and problem-solving skills
106,53,2023,3,Struggles with deadlines occasionally
107,54,2022,5,Highly motivated and reliable
108,54,2023,3,Consistently delivers high-quality work
109,55,2022,3,"Meets expectations, room to grow"
110,55,2023,5,Struggles with deadlines occasionally
111,56,2022,4,Highly motivated and reliable
112,56,2023,4,"Good technical skills, improve soft skills"
113,57,2022,5,Great initiative and problem-solving skills
114,57,2023,3,"Meets expectations, room to grow"
115,58,2022,1,Consistently delivers high-quality work
116,58,2023,5,Consistently delivers high-quality work
117,59,2022,2,Excellent team player and communicator
118,59,2023,4,Struggles with deadlines occasionally
119,60,2022,4,Consistently delivers high-quality work
120,60,2023,5,"Meets expectations, room to grow"
121,61,2022,2,Great initiative and problem-solving skills
122,61,2023,4,"Meets expectations, room to grow"
123,62,2022,3,Excellent team player and communicator
124,62,2023,3,"Meets expectations, room to grow"
125,63,2022,5,"Meets expectations, room to grow"
126,63,2023,3,Great initiative and problem-solving skills
127,64,2022,3,"Good technical skills, improve soft skills"
128,64,2023,5,Great initiative and problem-solving skills
129,65,2022,1,"Good technical skills, improve soft skills"
130,65,2023,5,Highly motivated and reliable
131,66,2022,2,"Meets expectations, room to grow"
132,66,2023,4,Great initiative and problem-solving skills
133,67,2022,4,"Meets expectations, room to grow"
134,67,2023,3,"Good technical skills, improve soft skills"
135,68,2022,2,Outstanding performance this year
136,68,2023,4,"Good technical skills, improve soft skills"
137,69,2022,3,"Meets expectations, room to grow"
138,69,2023,4,"Below expectations, requires coaching"
139,70,2022,4,Highly motivated and reliable
140,70,2023,5,Outstanding performance this year
141,71,2022,4,Highly motivated and reliable
142,71,2023,3,Great initiative and problem-solving skills
143,72,2022,5,Struggles with deadlines occasionally
144,72,2023,3,"Good technical skills, improve soft skills"
145,73,2022,3,"Meets expectations, room to grow"
146,73,2023,5,Highly motivated and reliable
147,74,2022,4,Needs improvement in time management
148,74,2023,4,Outstanding performance this year
149,75,2022,2,Excellent team player and communicator
150,75,2023,2,"Good technical skills, improve soft skills"
151,76,2022,5,"Below expectations, requires coaching"
152,76,2023,5,Needs improvement in time management
153,77,2022,4,"Meets expectations, room to grow"
154,77,2023,4,Outstanding performance this year
155,78,2022,4,Consistently delivers high-quality work
156,78,2023,5,"Below expectations, requires coaching"
157,79,2022,5,"Below expectations, requires coaching"
158,79,2023,4,Struggles with deadlines occasionally
159,80,2022,2,Consistently delivers high-quality work
160,80,2023,4,Great initiative and problem-solving skills
161,81,2022,5,"Good technical skills, improve soft skills"
162,81,2023,5,"Below expectations, requires coaching"
163,82,2022,4,Outstanding performance this year
164,82,2023,5,Excellent team player and communicator
165,83,2022,4,Highly motivated and reliable
166,83,2023,3,Outstanding performance this year
167,84,2022,4,Consistently delivers high-quality work
168,84,2023,2,Needs improvement in time management
169,85,2022,5,"Good technical skills, improve soft skills"
170,85,2023,4,"Below expectations, requires coaching"
171,86,2022,5,"Meets expectations, room to grow"
172,86,2023,3,Great initiative and problem-solving skills
173,87,2022,3,"Good technical skills, improve soft skills"
174,87,2023,3,"Good technical skills, improve soft skills"
175,88,2022,4,Excellent team player and communicator
176,88,2023,3,Needs improvement in time management
177,89,2022,3,"Good technical skills, improve soft skills"
178,89,2023,4,Great initiative and problem-solving skills
179,90,2022,4,"Below expectations, requires coaching"
180,90,2023,5,"Good technical skills, improve soft skills"
181,91,2022,4,Needs improvement in time management
182,91,2023,3,Great initiative and problem-solving skills
183,92,2022,3,"Meets expectations, room to grow"
184,92,2023,5,Struggles with deadlines occasionally
185,93,2022,2,"Below expectations, requires coaching"
186,93,2023,2,Consistently delivers high-quality work
187,94,2022,3,Great initiative and problem-solving skills
188,94,2023,5,Outstanding performance this year
189,95,2022,4,Consistently delivers high-quality work
190,95,2023,4,Consistently delivers high-quality work
191,96,2022,3,"Good technical skills, improve soft skills"
192,96,2023,3,Great initiative and problem-solving skills
193,97,2022,3,Struggles with deadlines occasionally
194,97,2023,2,Highly motivated and reliable
195,98,2022,1,Consistently delivers high-quality work
196,98,2023,3,Outstanding performance this year
197,99,2022,3,Highly motivated and reliable
198,99,2023,2,Needs improvement in time management
199,100,2022,3,Consistently delivers high-quality work
200,100,2023,4,"Below expectations, requires coaching"
201,101,2022,5,Highly motivated and reliable
202,101,2023,3,Struggles with deadlines occasionally
203,102,2022,2,Consistently delivers high-quality work
204,102,2023,4,Excellent team player and communicator
205,103,2022,3,Excellent team player and communicator
206,103,2023,3,"Below expectations, requires coaching"
207,104,2022,4,Outstanding performance this year
208,104,2023,5,"Good technical skills, improve soft skills"
209,105,2022,3,Struggles with deadlines occasionally
210,105,2023,5,Excellent team player and communicator
211,106,2022,2,Highly motivated and reliable
212,106,2023,4,Great initiative and problem-solving skills
213,107,2022,5,Needs improvement in time management
214,107,2023,4,Highly motivated and reliable
215,108,2022,5,Great initiative and problem-solving skills
216,108,2023,3,Highly motivated and reliable
217,109,2022,4,Great initiative and problem-solving skills
218,109,2023,5,Consistently delivers high-quality work
219,110,2022,3,Great initiative and problem-solving skills
220,110,2023,3,Struggles with deadlines occasionally
221,111,2022,4,"Good technical skills, improve soft skills"
222,111,2023,5,Consistently delivers high-quality work
223,112,2022,5,Highly motivated and reliable
224,112,2023,5,Needs improvement in time management
225,113,2022,2,Consistently delivers high-quality work
226,113,2023,4,Needs improvement in time management
227,114,2022,4,Highly motivated and reliable
228,114,2023,5,"Below expectations, requires coaching"
229,115,2022,5,Outstanding performance this year
230,115,2023,5,Struggles with deadlines occasionally
231,116,2022,3,Highly motivated and reliable
232,116,2023,5,Great initiative and problem-solving skills
233,117,2022,4,"Meets expectations, room to grow"
234,117,2023,3,Struggles with deadlines occasionally
235,118,2022,3,Needs improvement in time management
236,118,2023,4,Excellent team player and communicator
237,119,2022,4,Highly motivated and reliable
238,119,2023,4,Struggles with deadlines occasionally
239,120,2022,5,Needs improvement in time management
240,120,2023,2,Needs improvement in time management
241,121,2022,3,Great initiative and problem-solving skills
242,121,2023,3,Consistently delivers high-quality work
243,122,2022,3,Great initiative and problem-solving skills
244,122,2023,4,Consistently delivers high-quality work
245,123,2022,2,Needs improvement in time management
246,123,2023,3,Great initiative and problem-solving skills
247,124,2022,5,Highly motivated and reliable
248,124,2023,3,Consistently delivers high-quality work
249,125,2022,4,Great initiative and problem-solving skills
250,125,2023,3,"Good technical skills, improve soft skills"
251,126,2022,3,"Below expectations, requires coaching"
252,126,2023,3,"Good technical skills, improve soft skills"
253,127,2022,3,Consistently delivers high-quality work
254,127,2023,2,Highly motivated and reliable
255,128,2022,3,"Below expectations, requires coaching"
256,128,2023,5,Great initiative and problem-solving skills
257,129,2022,2,Struggles with deadlines occasionally
258,129,2023,5,"Good technical skills, improve soft skills"
259,130,2022,3,Highly motivated and reliable
260,130,2023,3,Struggles with deadlines occasionally
261,131,2022,4,"Good technical skills, improve soft skills"
262,131,2023,5,"Good technical skills, improve soft skills"
263,132,2022,5,Outstanding performance this year
264,132,2023,2,Struggles with deadlines occasionally
265,133,2022,5,Needs improvement in time management
266,133,2023,2,"Good technical skills, improve soft skills"
